hospital_name,address,LocName,fX,fY,assigned_cases,refused_attempts,refused_cases,total_demand,refusal_rate_raw,refusal_rate_bayes,accepted_weighted,refused_weighted,severity_pressure,demand_norm,size_penalty,stress_score,stress_score_scaled,group_id,group_size
あいざわクリニック（銀杏町,〒983-0047 宮城県仙台市宮城野区銀杏町２６−７,宮城県/仙台市/宮城野区/銀杏町/２６番,140.90994,38.26261,0,6,6,6,1.0,0.6875,0,8,1.0,0.2085017635005765,0.8,0.5056004702668204,0.5954054370024274,-1,1
あおば脳神経内科（中央二,〒980-0021 宮城県仙台市青葉区中央２丁目１１−１９ 仙南ビル,宮城県/仙台市/青葉区/中央/二丁目/１１番,140.87746,38.26263,6,18,18,24,0.75,0.6764705882352942,7,27,0.7941176470588235,0.3448983943581433,1.0,0.605162209884087,0.7374045490151127,-1,1
あおば通りかずみクリニック,〒980-0804 宮城県仙台市青葉区大町１丁目１−５ グレイス大町 ３階,宮城県/仙台市/青葉区/大町/一丁目/１番,140.87027,38.25973,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.0742698266836024,0.5,0.2699540620230246,0.2593166859598068,-1,1
あかかぶクリニック（中央二,〒980-0021 宮城県仙台市青葉区中央２丁目６−１９ 豊栄堂ビル ５階,宮城県/仙台市/青葉区/中央/二丁目/６番,140.87785,38.26199,2,3,3,5,0.6,0.5333333333333333,3,6,0.6666666666666666,0.1919847169121718,0.8,0.3711959245099125,0.4037120593925473,-1,1
あきもとクリニック（栗生七,〒989-3122 宮城県仙台市青葉区栗生７丁目１０−７,宮城県/仙台市/青葉区/栗生/七丁目/１０番,140.77835,38.2688,0,2,2,2,1.0,0.5833333333333334,0,3,1.0,0.1177148902285694,0.5,0.2835080372603171,0.2786479316304447,-1,1
あすとながまち心身ＣＬ（あすと長町一,〒982-0007 宮城県仙台市太白区あすと長町１丁目２−１ 仙台長町メディカルプラザ 2階,宮城県/仙台市/太白区/あすと長町/一丁目/２番,140.88768,38.23102,0,1,1,1,1.0,0.5454545454545454,0,0,0.0,0.0742698266836024,0.5,0.1032873953563579,0.0216097238299839,-1,1
あすと耳鼻科（あすと長町一,〒982-0007 宮城県仙台市太白区あすと長町１丁目３−１,宮城県/仙台市/太白区/あすと長町/一丁目/３番,140.88911,38.23048,2,4,4,6,0.6666666666666666,0.5625,2,4,0.6666666666666666,0.2085017635005765,0.8,0.3833782480445982,0.4210869981072239,0,8
あすと長町えだクリニック（あすと長町三,〒982-0007 宮城県仙台市太白区あすと長町３丁目３−３３,宮城県/仙台市/太白区/あすと長町/三丁目/３番,140.88596,38.21902,2,1,1,3,0.3333333333333333,0.4615384615384615,3,1,0.25,0.1485396533672049,0.5,0.1433463524842777,0.0787434818597836,-1,1
あすと長町さくらクリニック,〒982-0007 宮城県仙台市太白区あすと長町１丁目２−１ 仙台長町メディカルプラザ 3階,宮城県/仙台市/太白区/あすと長町/一丁目/２番,140.88768,38.23102,1,0,0,1,0.0,0.4545454545454545,1,0,0.0,0.0742698266836024,0.5,0.0881358802048428,0.0,-1,1
あすと長町はんだクリニック（あすと長町一,〒982-0007 宮城県仙台市太白区あすと長町１丁目３−１ SHIP仙台ビル ２Ｆ,宮城県/仙台市/太白区/あすと長町/一丁目/３番,140.88911,38.23048,0,3,3,3,1.0,0.6153846153846154,0,2,1.0,0.1485396533672049,0.5,0.2939873781253034,0.2935940053232775,-1,1
